protein1 protein2 neighborhood fusion cooccurence coexpression experimental database textmining combined_score
9606.ENSP00000185150 9606.ENSP00000366395 0 0 0 163 917 900 778 998
9606.ENSP00000185150 9606.ENSP00000158771 0 0 0 88 909 900 653 996
9606.ENSP00000185150 9606.ENSP00000337053 0 0 0 88 960 900 894 999
9606.ENSP00000185206 9606.ENSP00000358460 0 0 0 61 943 540 65 973
9606.ENSP00000188312 9606.ENSP00000262518 0 0 0 108 903 0 535 956
9606.ENSP00000198767 9606.ENSP00000222567 0 0 0 64 971 900 539 998
9606.ENSP00000198767 9606.ENSP00000361465 0 0 0 63 925 900 791 998
9606.ENSP00000199706 9606.ENSP00000377486 0 0 0 240 967 900 0 997
9606.ENSP00000199706 9606.ENSP00000264995 0 0 0 138 969 900 408 998
9606.ENSP00000199706 9606.ENSP00000323065 0 0 0 297 966 900 0 997
9606.ENSP00000199706 9606.ENSP00000308275 0 0 0 328 982 900 196 998
9606.ENSP00000199706 9606.ENSP00000431040 0 0 0 148 946 900 0 995
9606.ENSP00000199706 9606.ENSP00000300151 0 0 0 225 952 900 479 997
9606.ENSP00000199706 9606.ENSP00000449884 0 0 0 82 934 900 0 993
9606.ENSP00000199706 9606.ENSP00000301585 0 0 0 206 960 900 0 996
9606.ENSP00000199706 9606.ENSP00000363999 0 0 0 111 954 900 503 997
9606.ENSP00000199706 9606.ENSP00000252602 0 0 0 167 945 900 0 995
9606.ENSP00000199706 9606.ENSP00000361206 0 0 0 683 942 900 536 999
9606.ENSP00000199706 9606.ENSP00000357823 0 0 0 211 971 900 506 998
9606.ENSP00000199706 9606.ENSP00000417602 0 0 0 136 944 900 451 997
9606.ENSP00000199706 9606.ENSP00000373404 0 0 0 229 965 900 0 997
9606.ENSP00000199706 9606.ENSP00000484903 0 0 0 167 936 900 361 996
9606.ENSP00000199706 9606.ENSP00000380466 0 0 0 244 955 0 0 965
9606.ENSP00000199706 9606.ENSP00000419370 0 0 0 60 949 0 0 950
9606.ENSP00000199706 9606.ENSP00000260102 0 0 0 198 975 900 0 997
9606.ENSP00000199706 9606.ENSP00000341082 0 0 0 237 920 900 451 996
9606.ENSP00000199706 9606.ENSP00000312311 0 0 0 127 920 900 0 992
9606.ENSP00000199706 9606.ENSP00000223324 0 0 0 156 967 900 0 997
9606.ENSP00000199706 9606.ENSP00000225969 0 0 0 424 942 900 0 996
9606.ENSP00000199706 9606.ENSP00000333401 0 0 0 180 942 900 442 997
9606.ENSP00000199706 9606.ENSP00000354525 0 0 0 275 974 900 0 998
9606.ENSP00000199706 9606.ENSP00000258383 0 0 0 189 945 900 0 995
9606.ENSP00000199706 9606.ENSP00000253099 0 0 0 239 940 900 0 995
9606.ENSP00000199706 9606.ENSP00000288937 0 0 0 545 967 900 0 998
9606.ENSP00000199706 9606.ENSP00000338389 0 0 0 308 945 900 0 995
9606.ENSP00000199706 9606.ENSP00000361084 0 0 0 148 947 900 0 995
9606.ENSP00000199706 9606.ENSP00000279242 0 0 0 171 952 900 506 997
9606.ENSP00000199706 9606.ENSP00000424328 0 0 0 92 947 900 203 995
9606.ENSP00000199706 9606.ENSP00000310726 0 0 0 181 962 900 0 996
9606.ENSP00000199706 9606.ENSP00000338057 0 0 0 183 949 900 0 995
9606.ENSP00000199706 9606.ENSP00000306548 0 0 0 120 946 900 426 996
9606.ENSP00000199706 9606.ENSP00000354086 0 0 0 200 969 900 0 997
9606.ENSP00000199706 9606.ENSP00000360498 0 0 0 256 933 900 0 994
9606.ENSP00000199814 9606.ENSP00000215829 0 0 0 77 960 900 421 997
9606.ENSP00000199814 9606.ENSP00000360532 0 0 0 90 958 900 805 999
9606.ENSP00000199814 9606.ENSP00000412566 0 0 0 74 960 900 92 996
9606.ENSP00000199814 9606.ENSP00000475615 0 0 0 92 960 900 438 997
9606.ENSP00000199814 9606.ENSP00000358554 0 0 0 61 960 900 686 998
9606.ENSP00000199814 9606.ENSP00000392094 0 0 0 133 960 900 729 998
